Vendor Name,Vendor ID,OTP Sent,Response Time (ms),Error Rate,Date,Country Code,Phone Number,Day,Response Time (s),Success Rate,Time Period,Vendor Performance,Failover Mechanism,Primary Vendor Failure Rate,Delay Time (s),Backup Vendor Success Rate,Retry Attempts,Device Type,Location,Network Latency (ms),Adjusted Response Time,Adjusted Success Rate,Vendor Priority,Operator
Vendor A,f8c38b92-3897-4c0e-b71f-0ccedd8bb909,0,4212,0.182716692,1/14/2025,966,564179714,Tuesday,4.212,0.181728331,0,Low,Switch to Backup Vendor,0.219260031,4.905612806,0.814958202,1,Tablet,Urban,167,0.769602707,0.141882571,1,Mobily
Vendor B,5dddb73f-6fde-4818-b964-2087ce818247,0,9376,0.084908061,1/9/2025,966,576607674,Thursday,9.376,0.191509194,0,Low,Switch to Backup Vendor,0.101889674,10.9199966,0.814958202,1,Tablet,Rural,189,0.796097984,0.171996385,2,Virgin
Vendor B,74bb4326-4160-439f-ba73-49c5c6599732,1,4938,0.027907827,1/12/2025,966,544872238,Sunday,4.938,0.788836869,0,Medium,Delivered,0.033489392,5.75116715,0.814958202,0,Desktop,Urban,59,0.137808849,0.762419202,2,Mobily
Vendor B,c6ad014f-f3d3-4055-8e5a-3eaa257b1a29,0,12255,0.124346642,1/9/2025,966,563369286,Thursday,12.255,0.187565336,1,Low,Switch to Backup Vendor,0.193980761,14.27309709,0.814958202,1,Tablet,Suburban,428,1.523868092,0.151181269,2,Mobily
Vendor A,46d839ce-ee7a-41ea-82ae-5d6928477bda,0,5516,0.084807454,1/25/2025,966,572251565,Saturday,5.516,0.191519255,0,Low,Switch to Backup Vendor,0.101768945,6.424349534,0.814958202,0,Mobile,Rural,346,0.467797915,0.172028542,1,Virgin
Vendor A,0f579d40-f0df-408f-9324-41179f317a92,0,10587,0.055740715,1/7/2025,966,537581948,Tuesday,10.587,0.194425928,1,Low,Switch to Backup Vendor,0.086955516,12.33041851,0.814958202,0,Mobile,Rural,364,0.590126951,0.177519522,1,STC
Vendor C,886d757b-d2e6-4263-a1b1-9eddd2bb22b1,0,7348,0.186150747,1/5/2025,966,509245141,Sunday,7.348,0.181384925,0,Low,Switch to Backup Vendor,0.223380896,8.558034877,0.814958202,2,Desktop,Suburban,168,1.367835686,0.140866998,3,STC
Vendor C,aae4e50f-9ccd-45a3-914c-d0f22308a104,1,13105,0.069171115,1/20/2025,966,569081990,Monday,13.105,0.772331554,0,Medium,Delivered,0.083005338,15.26307118,0.814958202,0,Tablet,Urban,57,0.906487467,0.708223912,3,Mobily
Vendor C,134feabd-f59d-4cc2-b1a0-2777a1c99aad,0,8204,0.043419509,1/15/2025,966,586304025,Wednesday,8.204,0.195658049,1,Low,Switch to Backup Vendor,0.067734434,9.554997023,0.814958202,1,Mobile,Rural,418,0.356213652,0.182405262,3,Zain
Vendor A,9899a15e-be02-4883-b5b2-a2a68aa5de72,0,4948,0.145445076,1/10/2025,966,576156731,Friday,4.948,0.185455492,0,Low,Switch to Backup Vendor,0.174534091,5.762813904,0.814958202,0,Mobile,Rural,393,0.719662235,0.153087187,1,Virgin
Vendor B,3cd540f8-918c-4af6-8a7e-aa67cac9e976,0,4432,0.138932128,1/16/2025,966,565114152,Thursday,4.432,0.186106787,0,Low,Switch to Backup Vendor,0.166718554,5.161841395,0.814958202,1,Desktop,Rural,214,0.615747192,0.155079333,2,Mobily
Vendor A,35bb2062-447e-48ad-892a-4fe66732c209,1,2374,0.17363306,1/23/2025,966,541950082,Thursday,2.374,0.730546776,0,Medium,Delivered,0.208359672,2.764939412,0.814958202,0,Mobile,Suburban,306,0.412204884,0.578330289,1,Mobily
Vendor C,acd5956e-9930-4d2c-9c05-e65d5edcb094,1,13288,0.11945954,1/10/2025,966,569034383,Friday,13.288,0.752216184,0,Medium,Delivered,0.143351448,15.47620678,0.814958202,2,Mobile,Rural,366,1.587378372,0.644384904,3,Mobily
Vendor C,b51b1c8d-13f4-4be9-9750-58f010e22c7b,1,9094,0.182826143,1/13/2025,966,505936696,Monday,9.094,0.726869543,1,Medium,Delivered,0.285208782,10.59155813,0.814958202,0,Mobile,Rural,167,1.66262094,0.519559966,3,STC
Vendor B,30363f46-dee5-4960-ad77-054f6d2a5a61,0,5510,0.179264356,1/23/2025,966,537942281,Thursday,5.51,0.182073564,0,Low,Switch to Backup Vendor,0.215117227,6.417361482,0.814958202,0,Mobile,Rural,446,0.987746601,0.142906404,2,STC
Vendor A,e71f6f08-1200-45df-93be-43b74f3bad03,1,3394,0.11799178,1/4/2025,966,554374755,Saturday,3.394,0.752803288,1,Medium,Delivered,0.184067178,3.952908325,0.814958202,2,Mobile,Urban,297,0.400464103,0.614236911,1,STC
Vendor B,8fa6df8d-295b-4ace-9032-a6d176512b55,0,11617,0.169130986,1/9/2025,966,547226233,Thursday,11.617,0.183086901,0,Low,Switch to Backup Vendor,0.202957183,13.53003418,0.814958202,0,Desktop,Suburban,302,1.964794662,0.1459281,2,Mobily
Vendor B,604111d1-1be9-46c9-b226-afe681e33b50,0,10474,0.039742126,1/11/2025,966,506115790,Saturday,10.474,0.196025787,0,Low,Switch to Backup Vendor,0.047690551,12.19881019,0.814958202,0,Tablet,Rural,489,0.416259025,0.18667721,2,STC
Vendor B,7ac173b2-09d6-4f4c-a856-769de7c82dd3,0,9157,0.026145849,1/8/2025,966,543967827,Wednesday,9.157,0.197385415,1,Low,Switch to Backup Vendor,0.040787525,10.66493268,0.814958202,0,Tablet,Suburban,289,0.239417542,0.189334553,2,Mobily
Vendor C,4163bd70-047e-4ea6-8fae-a45ea7ff0751,0,3728,0.079716068,1/3/2025,966,575949989,Friday,3.728,0.192028393,1,Low,Switch to Backup Vendor,0.124357066,4.34190991,0.814958202,2,Mobile,Suburban,425,0.297181501,0.168148306,3,Virgin
Vendor A,bf3672ec-8267-4760-a3ba-46e6d003a997,1,9907,0.153371087,1/22/2025,966,553066464,Wednesday,9.907,0.738651565,1,Medium,Delivered,0.239258896,11.53843924,0.814958202,1,Desktop,Suburban,150,1.51944736,0.561922607,1,STC
Vendor A,662df024-e258-47e3-8578-59f3518ce14f,0,1717,0.082300291,1/15/2025,966,548537435,Wednesday,1.717,0.191769971,1,Low,Switch to Backup Vendor,0.128388454,1.999747671,0.814958202,1,Tablet,Rural,178,0.141309599,0.167148921,1,Mobily
Vendor B,2e2f6d42-532f-4f58-8910-5fc3e8f387ee,0,10237,0.083974527,1/20/2025,966,556680800,Monday,10.237,0.191602547,1,Low,Switch to Backup Vendor,0.131000263,11.92278212,0.814958202,2,Tablet,Suburban,331,0.859647237,0.166502563,2,STC
Vendor A,6c902624-da91-4c95-8783-e8eddba09ac5,0,3150,0.187411488,1/27/2025,966,563500743,Monday,3.15,0.181258851,0,Low,Switch to Backup Vendor,0.224893786,3.668727526,0.814958202,2,Tablet,Rural,141,0.590346187,0.140494862,1,Mobily
Vendor B,23316c50-5eb9-43c4-afec-2e061d4054a5,0,2373,0.070189898,1/9/2025,966,553838119,Thursday,2.373,0.19298101,0,Low,Switch to Backup Vendor,0.084227878,2.763774736,0.814958202,2,Mobile,Rural,450,0.166560629,0.176726629,2,STC
Vendor C,326b1272-61d9-4af6-b268-f9b018804630,0,6886,0.120646864,1/20/2025,966,578460259,Monday,6.886,0.187935314,1,Low,Switch to Backup Vendor,0.188209109,8.019954839,0.814958202,1,Desktop,Rural,275,0.830774309,0.152564176,3,Virgin
Vendor A,90b67c71-08a8-4c85-918d-efb5f9760106,1,11999,0.165272595,1/7/2025,966,503190955,Tuesday,11.999,0.733890962,1,Medium,Delivered,0.257825248,13.97494019,0.814958202,1,Mobile,Suburban,214,1.983105865,0.544675343,1,STC
Vendor B,f77eaac6-b60c-410e-ac40-6047e120e1b5,1,5401,0.026452688,1/15/2025,966,569805897,Wednesday,5.401,0.789418925,0,Medium,Delivered,0.031743226,6.290411863,0.814958202,0,Tablet,Rural,131,0.142870969,0.764360221,2,Mobily
Vendor B,2b23b187-2ffe-4c79-b4aa-fee9b93e90fa,0,6301,0.186705335,1/11/2025,966,551142059,Saturday,6.301,0.181329466,0,Low,Switch to Backup Vendor,0.224046402,7.338619727,0.814958202,0,Desktop,Suburban,94,1.176430317,0.140703252,2,STC
Vendor C,636b8914-2460-413a-af43-759689c66c5e,0,11817,0.146212849,1/20/2025,966,545058409,Monday,11.817,0.185378715,0,Low,Switch to Backup Vendor,0.175455419,13.76296926,0.814958202,1,Tablet,Urban,238,1.727797241,0.152853015,3,Mobily
Vendor A,eccb35d5-5965-4ac9-95a3-5aa3e9cf1e4a,0,14816,0.125392888,1/24/2025,966,553581166,Friday,14.816,0.187460711,1,Low,Switch to Backup Vendor,0.195612906,17.2558308,0.814958202,2,Desktop,Urban,444,1.857821032,0.150790977,1,STC
Vendor B,d6ef1951-a8ff-4e8c-84f0-768893d5560a,0,1663,0.150691909,1/9/2025,966,556611274,Thursday,1.663,0.184930809,0,Low,Switch to Backup Vendor,0.180830291,1.936855199,0.814958202,2,Mobile,Suburban,224,0.250600645,0.151489717,2,STC
Vendor C,a9c0232a-4671-4715-b542-d0c4cf9ba385,1,1757,0.124222206,1/10/2025,966,558254663,Friday,1.757,0.750311118,1,Medium,Delivered,0.193786641,2.046334687,0.814958202,0,Mobile,Rural,208,0.218258416,0.604910846,3,STC
Vendor A,b6435fa7-948b-423b-9667-1b6540582761,0,2363,0.099393997,1/8/2025,966,578443189,Wednesday,2.363,0.1900606,0,Low,Switch to Backup Vendor,0.119272796,2.752127982,0.814958202,0,Desktop,Urban,385,0.234868015,0.167391541,1,Virgin
Vendor C,498b9d25-9e25-46b1-8ec7-1e8b44d79977,0,9043,0.025585891,1/1/2025,966,565450406,Wednesday,9.043,0.197441411,0,Low,Switch to Backup Vendor,0.03070307,10.53215969,0.814958202,1,Desktop,Rural,87,0.231373215,0.191379354,3,Mobily
Vendor C,e1435d47-5fad-4a0a-9df5-a29cf011ed40,1,12998,0.04343387,1/9/2025,966,591634177,Thursday,12.998,0.782626452,0,Medium,Delivered,0.052120644,15.13845092,0.814958202,2,Tablet,Urban,218,0.564553443,0.741835457,3,Zain
Vendor B,99a58217-9602-4455-8e77-955fe657efee,0,6508,0.178993685,1/9/2025,966,548934636,Thursday,6.508,0.182100632,1,Low,Switch to Backup Vendor,0.279230148,7.579707536,0.814958202,0,Desktop,Suburban,346,1.164890899,0.131252645,2,Mobily
Vendor B,5e4698a8-5f71-435d-8a31-7309b48c0612,0,8383,0.146588212,1/19/2025,966,504300056,Sunday,8.383,0.185341179,0,Low,Switch to Backup Vendor,0.175905854,9.763473921,0.814958202,2,Desktop,Suburban,314,1.228848981,0.15273858,2,STC
Vendor B,befdfc8e-97d5-4e2e-aa27-51cf496b540d,1,10320,0.176554697,1/21/2025,966,530740502,Tuesday,10.32,0.729378121,0,Medium,Delivered,0.211865636,12.01945018,0.814958202,2,Desktop,Suburban,449,1.822044469,0.574847962,2,STC
Vendor B,69e8d540-a0e9-4e7f-8c44-ba3ab9a8cbee,0,7123,0.169258787,1/10/2025,966,571045672,Friday,7.123,0.183074121,0,Low,Switch to Backup Vendor,0.203110544,8.29598291,0.814958202,0,Desktop,Suburban,476,1.205630337,0.145889837,2,Virgin
Vendor C,3be5cd34-787f-4458-9c39-1d71d288fe94,0,2094,0.030985308,1/2/2025,966,589587585,Thursday,2.094,0.196901469,1,Low,Switch to Backup Vendor,0.04833708,2.438830298,0.814958202,2,Desktop,Rural,380,0.064883234,0.187383827,3,Zain
Vendor A,ac90c852-baeb-4ddb-a83f-277876b48678,1,10729,0.012812272,1/5/2025,966,535702269,Sunday,10.729,0.794875091,0,Medium,Delivered,0.015374727,12.49580242,0.814958202,0,Tablet,Suburban,334,0.137462871,0.782654104,1,STC
Vendor C,0df8b417-2e46-49b1-b738-29f6563d1475,1,13057,0.022115145,1/1/2025,966,570256429,Wednesday,13.057,0.791153942,0,Medium,Delivered,0.026538174,15.20716676,0.814958202,2,Mobile,Urban,209,0.288757453,0.770158161,3,Virgin
Vendor A,9e517a15-02a3-4e8e-a8c7-3c868681ce03,1,12935,0.084345595,1/18/2025,966,588461583,Saturday,12.935,0.766261762,0,Medium,Delivered,0.101214713,15.06507636,0.814958202,0,Mobile,Urban,466,1.091010265,0.688704798,1,Zain
Vendor A,cd903ec4-fcec-4dc9-929d-a31393329761,0,6876,0.165644776,1/6/2025,966,558398823,Monday,6.876,0.183435522,1,Low,Switch to Backup Vendor,0.258405851,8.008308085,0.814958202,1,Tablet,Urban,304,1.138973481,0.13603471,1,STC
Vendor A,c6347f8c-d335-4387-ba59-616c3e83b576,0,5046,0.035123934,1/23/2025,966,547447930,Thursday,5.046,0.196487607,0,Low,Switch to Backup Vendor,0.042148721,5.876952094,0.814958202,1,Tablet,Urban,164,0.177235371,0.188205905,1,Mobily
Vendor A,82e10dea-d7c7-4073-a058-0b83a2fed4fa,0,4538,0.090184019,1/8/2025,966,534590030,Wednesday,4.538,0.190981598,0,Low,Switch to Backup Vendor,0.108220823,5.285296988,0.814958202,2,Mobile,Suburban,107,0.409255079,0.170313412,1,STC
Vendor C,ac0e67ef-aa8e-406f-ad45-99dd6dc771d3,0,9294,0.10203077,1/24/2025,966,574736621,Friday,9.294,0.189796923,1,Low,Switch to Backup Vendor,0.159168001,10.82449321,0.814958202,0,Mobile,Rural,418,0.948273976,0.159587326,3,Virgin
Vendor A,61484292-e988-48fe-acb8-bec244114071,1,4036,0.111847114,1/1/2025,966,569874690,Wednesday,4.036,0.755261154,1,Medium,Delivered,0.174481498,4.700629935,0.814958202,2,Mobile,Suburban,150,0.451414951,0.623482057,1,Mobily
Vendor B,18dac0e6-2a0c-4284-a524-3f27c75a685c,0,4753,0.015612818,1/26/2025,966,502783414,Sunday,4.753,0.198438718,1,Low,Switch to Backup Vendor,0.024355995,5.5357022,0.814958202,1,Mobile,Suburban,442,0.074207722,0.193605546,2,STC
Vendor C,208bdefd-f65c-44d0-b667-5d62342cfd4e,1,14030,0.095340717,1/19/2025,966,570567987,Sunday,14.03,0.761863713,1,Medium,Delivered,0.148731519,16.34039593,0.814958202,1,Desktop,Suburban,110,1.337630265,0.648550566,3,Virgin
Vendor B,4cf94737-2446-4233-ae83-3b4a78ca190f,1,10601,0.054132737,1/4/2025,966,569085976,Saturday,10.601,0.778346905,1,Medium,Delivered,0.084447069,12.34672397,0.814958202,2,Desktop,Urban,241,0.573861142,0.71261779,2,Mobily
Vendor A,f642553d-6499-40da-88d7-1532f26a871e,1,8653,0.097724532,1/2/2025,966,532110129,Thursday,8.653,0.760910187,0,Medium,Delivered,0.117269438,10.07793628,0.814958202,1,Tablet,Rural,470,0.845610374,0.671678677,1,STC
Vendor C,4877f5f5-d9e4-4ad3-8365-3afeda272b48,0,14370,0.081196249,1/28/2025,966,577926934,Tuesday,14.37,0.191880375,0,Low,Switch to Backup Vendor,0.097435499,16.73638557,0.814958202,1,Tablet,Urban,344,1.166790105,0.173184415,3,Virgin
Vendor A,019a5916-0509-4031-ad92-6f7b08b52d31,0,4223,0.032217034,1/15/2025,966,576526047,Wednesday,4.223,0.196778297,0,Low,Switch to Backup Vendor,0.038660441,4.918424236,0.814958202,1,Desktop,Suburban,314,0.136052535,0.189170761,1,Virgin
Vendor C,27018c72-7a01-440d-abca-850022115ace,0,3080,0.132740091,1/23/2025,966,547500831,Thursday,3.08,0.186725991,1,Low,Switch to Backup Vendor,0.207074542,3.587200248,0.814958202,1,Tablet,Suburban,314,0.40883948,0.148059792,3,Mobily
Vendor B,861cad9c-c942-4608-826d-2564e5ff8fb3,1,12580,0.114182149,1/12/2025,966,599109110,Sunday,12.58,0.754327141,1,Medium,Delivered,0.178124152,14.6516166,0.814958202,1,Mobile,Rural,445,1.43641143,0.619963258,2,Zain
Vendor B,064d1fda-d6e0-44fc-8d5c-13801cebebac,1,13510,0.150645087,1/17/2025,966,544147457,Friday,13.51,0.739741965,0,Medium,Delivered,0.180774105,15.73476472,0.814958202,1,Mobile,Suburban,460,2.035215132,0.606015773,2,Mobily
Vendor A,01e2f1b3-eb60-423b-8dc7-eb10ad42c0a9,1,11972,0.059454668,1/4/2025,966,560392444,Saturday,11.972,0.776218133,1,Medium,Delivered,0.092749282,13.94349395,0.814958202,0,Tablet,Rural,175,0.711791284,0.704224458,1,Mobily
Vendor B,3de9d899-1491-4ce2-bd97-d850a10705a9,0,5488,0.196585168,1/20/2025,966,503020280,Monday,5.488,0.180341483,0,Low,Switch to Backup Vendor,0.235902202,6.391738623,0.814958202,1,Desktop,Urban,416,1.078859402,0.13779853,2,STC
Vendor A,4fb446ee-daa5-4098-81c4-ca3d23ef1cfb,0,3083,0.170132011,1/7/2025,966,553646029,Tuesday,3.083,0.182986799,0,Low,Switch to Backup Vendor,0.204158413,3.590694274,0.814958202,1,Tablet,Suburban,306,0.52451699,0.145628504,1,STC
Vendor A,9ba74c6a-2bd7-4d35-a5bd-89adbc5b865e,1,7998,0.027116497,1/10/2025,966,558372654,Friday,7.998,0.789153401,1,Medium,Delivered,0.042301735,9.31507389,0.814958202,0,Desktop,Rural,268,0.216877742,0.755770843,1,STC
Vendor B,52d94fe7-a05b-4f4c-9fd2-c33c0a01b0ad,1,10778,0.112186527,1/21/2025,966,566888551,Tuesday,10.778,0.755125389,0,Medium,Delivered,0.134623833,12.55287152,0.814958202,2,Desktop,Suburban,416,1.209146393,0.653467515,2,Mobily
Vendor C,a0fb7fe6-a38d-4346-947b-8d9edbcdf606,1,5301,0.037946615,1/24/2025,966,591863040,Friday,5.301,0.784821354,0,Medium,Delivered,0.045535937,6.173944322,0.814958202,1,Tablet,Rural,118,0.201155004,0.749083778,3,Zain
Vendor A,73f52297-0385-4119-a6de-850c8af988be,1,3604,0.161829992,1/22/2025,966,504159676,Wednesday,3.604,0.735268003,0,Medium,Delivered,0.19419599,4.19749016,0.814958202,2,Mobile,Suburban,256,0.583235289,0.592481906,1,STC
Vendor A,fbeb48f8-d0fb-4562-a12f-e3ee5a44a5b6,1,2893,0.189828318,1/19/2025,966,537647926,Sunday,2.893,0.724068673,0,Medium,Delivered,0.227793982,3.369405947,0.814958202,2,Mobile,Rural,395,0.549173324,0.559130187,1,STC
Vendor C,c0bab6dc-623b-4110-9a84-f9533a77f1d7,1,14259,0.092610669,1/21/2025,966,555165070,Tuesday,14.259,0.762955733,0,Medium,Delivered,0.111132802,16.6071066,0.814958202,0,Desktop,Suburban,437,1.320535525,0.678166324,3,STC
Vendor A,bc67abbb-381d-474c-8190-70e374ecb289,0,10205,0.017491891,1/16/2025,966,589519836,Thursday,10.205,0.198250811,1,Low,Switch to Backup Vendor,0.027287351,11.88551251,0.814958202,2,Desktop,Rural,245,0.178504753,0.192841071,1,Zain
Vendor C,8c3f5168-f665-47c2-904c-389df34e7d40,1,12774,0.014753079,1/14/2025,966,566733244,Tuesday,12.774,0.794098768,1,Medium,Delivered,0.023014804,14.87756362,0.814958202,0,Desktop,Rural,388,0.188455837,0.775822741,3,Mobily
Vendor B,6064fa2a-4cb4-4c8d-b27f-c83de73638e8,1,9503,0.179229012,1/3/2025,966,541211536,Friday,9.503,0.728308395,0,Medium,Delivered,0.215074815,11.06791037,0.814958202,0,Tablet,Suburban,351,1.703213303,0.571667602,2,Mobily
Vendor C,87ee8674-9d4e-4e16-811e-89b93f44e6b9,1,6454,0.018746286,1/11/2025,966,583038507,Saturday,6.454,0.792501485,1,Medium,Delivered,0.029244207,7.516815064,0.814958202,2,Mobile,Rural,445,0.120988532,0.769325408,3,Zain
Vendor B,a799af40-1af5-447f-84e7-d2df21ad6d57,0,11408,0.188379006,1/28/2025,966,589641938,Tuesday,11.408,0.181162099,1,Low,Switch to Backup Vendor,0.29387125,13.28661702,0.814958202,0,Desktop,Urban,385,2.149027702,0.127923767,2,Zain
Vendor B,9235f55e-b260-4da6-88d4-3173f7b052d1,1,5374,0.064479421,1/8/2025,966,599711957,Wednesday,5.374,0.774208231,0,Medium,Delivered,0.077375306,6.258965627,0.814958202,2,Mobile,Urban,292,0.346512411,0.714303633,2,Zain
Vendor B,189f01c4-ea17-4a16-ac3b-2c81bcb9bdb3,0,2426,0.143936364,1/11/2025,966,595638730,Saturday,2.426,0.185606364,0,Low,Switch to Backup Vendor,0.172723637,2.825502533,0.814958202,2,Desktop,Rural,75,0.349189619,0.153547757,2,Zain
Vendor B,99940055-50cf-4d89-a238-6ae1ae75d8a3,1,12227,0.02937156,1/1/2025,966,593674128,Wednesday,12.227,0.788251376,1,Medium,Delivered,0.045819633,14.24048618,0.814958202,2,Desktop,Suburban,240,0.35912606,0.752133987,2,Zain
Vendor B,e0b79916-6502-4e6f-bb14-c8b166fe283d,0,1185,0.055287309,1/5/2025,966,544926244,Sunday,1.185,0.194471269,0,Low,Switch to Backup Vendor,0.066344771,1.380140355,0.814958202,0,Mobile,Urban,427,0.065515461,0.181569117,2,Mobily
Vendor B,a714451c-a0ff-4b4d-b41f-3610d2155263,0,6482,0.012983248,1/23/2025,966,561037450,Thursday,6.482,0.198701675,0,Low,Switch to Backup Vendor,0.015579898,7.549425976,0.814958202,1,Desktop,Suburban,491,0.084157414,0.195605923,2,Mobily
